pref_resource,daily_study_hours,subject,preferred_strategy
3,8.635080772841878,1,1
4,4.342827207660806,3,3
1,8.933815938229118,3,2
3,8.58382026329137,3,0
3,9.388532445099,1,3
4,7.960736185582464,2,0
1,6.8553884197851715,1,2
1,6.01652290364632,2,0
3,4.036686282336559,3,3
2,9.431267703348896,3,0
3,9.749806449175514,1,1
3,3.197249260005924,1,2
3,3.400956673271738,2,2
3,5.1133306590691525,2,2
4,4.76002935836935,1,3
1,9.947345894802796,2,2
4,2.171289900434781,1,1
4,0.6717159543474482,2,3
4,5.191990294242629,1,1
3,2.1988157376026236,1,0
2,3.9814534535371693,1,0
1,7.569619969037341,2,0
2,7.348929280395228,2,0
4,3.4265775225976975,2,1
4,5.654132190271543,1,3
2,5.33373372996822,2,3
2,6.545159872766006,2,2
2,2.8793872767530493,1,1
4,6.103773051825167,3,0
4,9.799482153612585,1,1
1,5.124050453114823,2,2
1,9.107938483326263,1,2
4,4.6267464723490725,3,1
2,3.825744873099419,1,1
2,6.628481939290366,2,1
1,6.854778566799447,3,3
4,8.709591868183079,2,0
1,2.686760048294775,3,1
1,5.242337108905147,3,1
3,5.93403989248724,1,1
3,7.801263135909935,1,2
3,0.9142358316671206,2,2
2,9.94822985257474,1,3
4,4.964472882913958,1,0
4,3.1558232470692067,3,3
4,8.89319321152946,1,0
4,7.603328352025432,3,2
3,9.554182546727555,3,2
2,3.6421278943698803,3,2
2,5.751267184937154,2,3
3,5.936778457122964,2,1
2,9.813150045302434,2,1
3,1.215789432058218,3,2
4,3.4041216832282277,2,1
3,2.3136547959282874,2,1
4,3.0505111404564897,1,3
4,5.110158805624999,2,0
1,4.040525237393468,2,2
3,4.249568934689986,3,2
1,8.520024836899958,3,3
3,9.335159930702902,3,3
3,1.168953243070667,3,1
1,2.484727817345922,3,2
1,6.87586340982848,3,0
3,3.907144422313557,2,3
2,2.9145546661625183,3,0
4,3.305260589979918,3,0
1,3.5642322602667047,1,2
4,8.562363051784407,2,2
2,1.7979026486992737,2,3
2,7.234654470646126,2,2
2,5.751789780625123,3,2
1,3.3168463646540856,3,2
2,4.487918136239626,3,0
1,2.9339659641473514,1,3
2,6.309380253223965,3,1
4,1.2751447138022833,1,0
4,0.5492561963528744,2,2
3,6.464996942012043,3,0
4,2.3456025583644013,1,2
3,1.1739387114993127,1,2
4,4.2694463585319395,3,0
1,0.9823010448742708,2,3
4,8.922862915031269,2,2
3,0.7623593328001947,2,3
3,5.999216507321807,1,1
2,4.665504168671826,1,2
1,6.884248285304394,1,3
4,3.6174503410099534,1,3
2,1.9728953589135698,2,1
4,9.827488438950045,3,3
4,8.469868269658953,1,3
2,8.673843873960914,1,1
2,2.8773879249007086,2,2
2,0.8689299770795205,3,3
2,3.381022389395617,3,3
2,5.602283058368227,2,3
4,3.6031867970623885,2,0
2,8.364755535982091,3,1
1,3.079657700287548,1,0
3,9.669892388712313,3,1
2,4.8440190353304216,2,2
2,8.499219212613824,1,2
4,2.346610322951294,1,3
2,4.407862098038446,2,1
2,7.145366002288341,2,2
2,1.814354377969113,2,1
4,1.7610815113082132,3,2
2,9.71060023758451,3,0
3,7.288653489709545,1,2
4,0.89014140929482,2,0
3,4.288798563725548,1,2
4,4.61844700701705,1,3
2,7.568405108491596,1,0
3,2.8831750097932813,1,2
4,2.2511699061480153,2,3
1,1.2682931828633779,1,0
2,4.568987511931024,2,3
4,7.040749057270981,2,1
1,1.0528391573302143,3,1
4,9.194530412451565,2,0
1,4.702346182445492,3,2
2,2.7779799119953306,2,0
3,1.3917962557722716,2,3
1,2.2372269725194194,2,2
4,9.378832974727242,3,1
2,6.563570641511829,3,2
1,5.4086144455523835,1,1
4,6.742557620751585,3,2
4,4.638892537439965,3,2
4,7.435373507337276,3,2
1,0.9533032130706636,3,3
1,5.877353499693725,1,3
1,2.007141252603665,3,0
3,1.6415641541536008,2,0
1,3.747856833805815,2,1
1,1.372091125227698,3,3
1,1.394491388551321,3,1
3,3.4584264392172948,2,0
1,9.805350021904331,2,1
4,2.165637563948716,1,0
1,0.6630304674016272,2,3
4,7.751962018537154,2,2
4,8.165673281982405,3,3
4,3.7898910503493077,2,1
3,4.914401222926308,1,1
3,6.672849985106252,2,3
3,0.9565597798718204,3,3
1,9.516884450118166,3,0
4,8.923463679331451,2,1
3,2.9784894217462825,3,1
3,0.6453931327586551,1,3
1,9.367644926755089,1,2
3,5.259878897194962,2,1
1,5.624085759800594,2,2
2,6.997655809282341,2,3
3,6.350586061704181,3,3
2,9.466970243327193,1,0
1,9.47039017268909,1,1
4,8.738389868772536,3,2
3,6.545834175737107,1,0
1,8.109018299482798,2,1
4,6.933099252638327,2,0
4,5.9469868958833665,2,3
2,1.7207533557221466,1,1
1,8.206439678992028,2,0
4,8.296075019567576,3,0
3,6.446426865964941,3,2
3,8.294055015827047,1,0
2,6.689105332648985,3,1
4,2.463501418829081,3,1
1,3.1026307095507706,1,2
3,2.538596637229554,2,1
4,4.083961290665771,2,3
4,0.8701497569472194,2,1
2,6.373411901209982,1,1
3,3.697265041442902,3,0
3,6.72936503611705,2,0
1,4.161267899172868,2,1
3,6.975329855241503,1,2
1,3.73593340991028,2,0
3,2.9765980182410794,1,2
2,5.212355815787359,3,1
3,7.082458407573424,1,1
1,3.809197742305375,1,3
1,9.39815744262922,1,0
2,0.8722701034186394,1,1
3,4.470487301297998,3,3
3,9.692015239442352,3,0
2,5.705732890856829,2,1
3,4.522973951927126,3,1
3,5.900942695624604,3,0
1,5.971283464951804,2,0
3,7.450653675346582,3,0
3,1.713052429513423,1,1
2,2.8751562675529945,1,1
2,6.015168117267144,2,3
4,8.73760776849236,2,2
1,5.837733575365849,2,0
3,2.7666701680082317,1,1
3,6.958525409052335,3,1
4,7.529133224250058,1,0
3,2.7632434478378047,2,2
1,4.088424418674801,3,0
4,5.5761109985403525,3,2
1,5.217331311489238,1,1
4,4.201371819082433,2,2
4,3.3275341578384534,1,3
2,1.4498564280377022,3,1
1,1.0081103191000045,1,3
3,9.606144220390384,1,0
3,8.547859868908104,2,0
1,3.871599309395846,2,0
3,9.589608408701336,3,2
3,6.929314092030881,1,1
1,5.083949021605103,1,0
4,5.183743748832147,1,0
1,1.2912019063549667,3,1
4,1.3711893989555703,3,0
3,6.22318879606063,2,3
3,5.760178997285107,2,1
3,2.520915002730175,2,1
2,9.488848157376058,1,1
4,7.922312479476425,1,3
2,1.5779137191657562,2,1
2,9.34382650402928,1,3
1,9.755357981076896,2,1
2,9.961346799288126,3,2
1,1.0307759694348255,2,0
1,7.5018377895145845,3,2
2,5.686199816567395,1,0
4,7.205399096847598,2,3
4,9.702193467754281,1,2
4,7.036285096662871,3,1
4,8.451156805255051,3,0
4,8.735252700452993,3,0
2,8.465567255757858,1,2
2,4.547869012945941,1,3
3,2.61447596692479,1,2
4,4.268190218565392,1,3
2,8.973020633379377,3,3
3,1.8927458060742421,3,0
4,5.376598602577732,2,2
1,2.7156666880330143,2,2
3,6.022401463654432,1,3
2,8.699815958895536,3,2
1,8.86341970206496,3,1
1,2.7485093399797482,3,1
1,9.12309021031119,2,2
3,6.122943018802201,2,2
2,3.8270733436529785,3,3
1,7.227721358040398,3,1
4,5.075836385659096,3,1
1,4.090882106161418,2,0
1,7.198301460818269,3,3
3,2.8628794670877356,3,0
3,3.637399025681436,1,1
2,4.6272925226385775,1,3
4,2.909980651794818,2,2
3,4.349419824423462,3,3
1,5.928993739447601,3,2
2,7.539251678651349,1,2
1,7.788351104531431,2,3
1,8.316508342828584,1,2
3,7.57001074096133,1,0
2,6.969874557420636,1,1
4,2.7563114772784645,1,2
4,4.3021174822842365,3,0
3,5.038291463362163,3,2
3,1.2874675560868651,1,1
2,5.5195161523234875,2,0
4,4.6451904002622815,2,1
4,8.120037865753973,2,1
4,9.790056353165573,2,0
1,5.782047867104553,1,0
4,3.565520688637045,3,0
1,0.9123074413326413,2,3
2,9.284111637124163,1,0
1,9.231599295147264,2,0
2,2.9034065958977906,2,0
4,7.106405669513151,1,0
4,1.216628197352808,3,2
2,2.0790466031379027,3,3
3,2.5596865125716666,1,1
2,3.2976924949745836,3,0
3,9.96039806277902,1,2
1,7.12078803070624,1,2
1,4.149917398102589,1,2
1,7.502456705508683,3,1
4,9.194916245856511,1,0
1,9.60767287037454,2,3
3,1.0497070286982202,3,3
1,4.247957086777234,3,2
2,1.5141826263909017,3,1
2,3.6887706155711504,3,1
4,2.1119590870078726,2,1
2,6.645059435852876,3,3
3,4.188549647903786,3,2
1,2.679250084197022,1,0
4,3.02641028716027,3,3
1,3.9232784044500484,2,2
1,2.9695236971154957,2,2
3,4.8057880448738945,2,0
2,0.8070015355416794,2,0
2,3.157753318104984,3,0
1,4.406463848285769,3,1
4,6.226427879221336,2,0
2,3.0740976038937338,2,2
4,1.7652586896256222,3,0
2,1.2239036061920499,2,2
4,9.435052357786143,1,3
3,4.458071048515553,2,1
4,6.0210449012178495,2,3
3,9.232177242437816,1,3
3,1.2861099903354083,1,2
4,8.82828411629503,3,3
3,5.740084789168665,3,2
1,2.065925480801509,1,0
3,4.406923607561006,1,0
2,7.887221695484643,3,2
4,5.06351577773037,2,0
1,9.860217481322291,1,1
4,4.079020214410438,3,3
2,7.620993849772685,2,1
2,4.233399765299161,1,3
2,8.377060096711887,2,0
3,5.906273957074602,3,1
3,1.1033623811050128,1,0
4,0.8498077425419182,2,3
4,1.7715951286060152,1,2
1,0.6298836658564742,2,2
1,1.215911073348392,3,1
4,7.0712867731046645,3,0
3,5.576289612779899,1,0
2,7.624152119964732,2,1
4,9.175074646447607,1,2
1,6.058920557091984,1,3
3,7.398148018682557,2,1
4,7.692271419403331,2,3
4,4.089580218119972,2,2
3,2.7903059071315024,3,0
4,2.4479306208119866,1,2
3,2.8887031753620853,1,1
2,3.1099520717461333,3,0
3,2.4686626655765362,2,1
3,8.843096341052327,3,1
3,7.691491755636172,3,2
4,0.9455164440165893,3,1
4,3.0523885792404197,1,2
3,0.7107550492878655,3,0
4,5.232569273135983,1,2
1,5.0240016194956345,1,0
1,8.398029155593761,1,2
4,3.4238837778249698,2,3
4,8.255664484524093,1,3
3,9.69575077167832,1,1
2,1.3398781219736424,2,2
4,8.022269474961512,1,2
1,6.104581022807543,3,0
3,5.060436686675514,3,1
4,4.495089897318213,1,2
1,7.95434850747094,2,1
1,6.573932891255303,3,3
2,8.147924341433939,2,2
3,9.07993505742795,2,2
3,6.364005264924274,3,1
2,9.81439588837759,2,2
2,6.276834570647909,3,1
3,6.548121055411684,2,2
3,5.7707482811511435,3,0
4,1.3645198649876376,1,1
4,7.400771810177169,3,2
2,5.7007399155415595,3,3
4,4.783649250452992,3,2
1,9.149477144831094,3,3
4,3.3306147896485294,2,3
4,5.474221622142606,1,0
1,7.1275977791879015,3,1
2,8.066481868901835,2,2
1,4.863794675488638,1,0
4,8.49986844267774,1,2
2,7.804718542496276,1,3
4,1.1292417895927256,1,1
1,0.935682030844013,3,2
1,6.397654002009867,3,2
4,3.800427378141435,2,3
3,2.4867425152458846,2,2
3,6.006674377481515,2,2
1,3.744850499337178,1,3
1,5.604002458783666,1,0
3,4.871132010343934,3,3
3,6.05527800651696,1,0
4,4.302854644647673,1,1
4,7.127841950120851,1,0
3,2.210639087318336,2,0
